"case_no","patents"
"1:17-cv-10649","5930474"
"22-1449","10376190"
"337-TA-3670",""
"4:21-cv-00856","5463750"
"1:13-cv-00937","6952645|7400970|6904359"
"22-1577","7899479"
"3:12-cv-00296","7861730"
"2014-1140","7277010|6587046"
"2:23-cv-00104","6253201"
"2:18-cv-00370","9732532|9645580|7931293"
"2:15-cv-02016","9581958"
"1:15-cv-02019","7076730|7444374"
"3:20-cv-00483","10485257|10023604|9243273"
"1:13-cv-08178","6671307"
"1:18-cv-00938","6430603|7382334|6005534|RE39470"
"1:20-cv-00205","8091547"
"1:14-cv-00435","5963642"
"8:11-cv-01279",""
"1:13-cv-00667","7231626"
"1:10-cv-00373","9313156"
"6:21-cv-00791","7232836|7528260"
"1:22-cv-01815","7011543"
"1:15-cv-00886","7731989|6340475|8252332|6488962|6635280|6723340|8333992|7438927|8192756"
"6:20-cv-00462","6409599"
"1:10-cv-04724","6839751"
"5:21-cv-00267","7293385"
"2017-2522","5712979"
"2020-1434","6356122"
"1:17-cv-11039","6469035|6746691|6676967|6129930|6080428|6818229|7011848|6406715"
"3:12-cv-00768","D659180"
"6:21-cv-00586","7866043|6779595|8387250|7950445|7913748|8161644|8328601|8235768"
"1:13-cv-05999","9187237"
"9:22-cv-80388","7895127"
"2021-1994","7997042"
"5:16-cv-00178","6600497|7194698"
"2:10-cv-02453","7996811|7051306|7415680|6141762|7945885|5724505|5958036|5577230|6256725"
"1:14-cv-00336","5543702"
"1:10-cv-00219","7872772"
"2019-2425","6626800"
"9:13-cv-80949","6243391|6108347"
"1:13-cv-00114","7822816"
"1:12-cv-00886","5396443|7203517|6928292|7509139|6754440|7671901"
"1:22-cv-06818","7565359|8352854|9626342|5983227|7171414"
"1:13-cv-00934","8523926"
"2:11-cv-00356","7917285"
"1:21-cv-02098","6319913|6579865"
"2017-1403","10496032|10209667|10496033|10514654|10289060|10520881|10289061|10295957|10488814|9753402|9354551|8565649|10520882"
"2012-1320","8754258|8093423|8338642|9050316|8901349|9328133|9387191|8609896|7767851|8754257|8846976|9757416|5753706|8299298"
"2:13-cv-05242","8429005"
"4:20-cv-02652","6785128"
"2016-1870","7346768|7178020"
"2015-1270","7919499"
"3:12-cv-04047","7585091|7303312"
"2:15-cv-01425","6569200"
"2:13-cv-00075","10117466|10104915"
"1:12-cv-00532","8350698|8981933|9449484"
"1:12-cv-03865","8504100"
"3:10-cv-00965","7648509"
"1:13-cv-00574","9442873|9772970|7126515|7353417|7930576|7075261"
"1:20-cv-00530","4894618|4942360|4890064"
"3:20-cv-00722","7385135|6756535|6921857|6271458|7459626|6121538|6881885|6632989"
"1:22-cv-00415",""
"2015-1599","D808049|9243796"
"5:13-cv-00003","7181430|7624071|7440924"
"3:10-cv-01310","RE46421|8375624"
"1:13-cv-22311","9724310|9730900|9833419"
"1:21-cv-00745","7759429|7759430"
"6:13-cv-00587",""
"1:17-cv-00091","5223844"
"1:19-cv-00789","11442775"
"21-1994","6197819"
"2:22-cv-00172","8419647|8419648"
"2014-1186","7007093|6990527|7249188|7827293"
"2007-1288","6661203"
"1:14-cv-00109","9032678|8250821|9187911"
"2018-1423","6586890|8063577|6557512|7262559|6250774"
"2:15-cv-01093","7558807|8296325|7647339|7873665|8065333"
"3:11-cv-00580","8934535|9769477|7386046"
"2:12-cv-00763","7187706"
"2:13-cv-07448",""
"2:14-cv-00629","8295862"
"3:21-cv-08944","5251294"
"337-TA-864","D761487"
"1:12-cv-01110","5280350"
"2017-1124","5701938|5694995|5819828|5562137|7395843|5678619"
"21-1057","6673838"
"2:15-cv-00607","6803728|9361790|9024800|8242714|8704459|7663325"
"2:18-cv-13531","RE40412|6141057|RE40411|6469741|5550594|5946049"
"1:22-cv-06890","8763750"
"6:19-cv-00648","6375104"
"2016-2674","D599999"
"1:15-cv-00072","RE40653|RE39038|7576679"
"2:15-cv-02005","6702719|8298123"
"2:11-cv-00709",""
"3:11-cv-02352","5338495"
"3:21-cv-00269","7486649|7171194|8989160|7489671"
"23-1194",""
"2:14-cv-08570","RE38865|6014145|5883628"
"1:17-cv-04516","6338160|7080362|7225436"
"1:18-cv-00968","7051258|7508867|6987802|6934326|6952442|6768772|6999506|6694470|6765957"
"3:10-cv-05290","10323553"
"2:17-cv-07306","5662408"
"3:15-cv-00234","5519769|5425085"
"6:15-cv-00425","5974451"
"5:16-cv-02887","7768025|7956364|7884388|7928465|7868348|7821024|6841802|7649210"
"2019-1012","8846628|11571436"
"1:19-cv-00848","8032278"
"3:15-cv-05982","11391121"
"6:22-cv-00547","6697385"
"1:18-cv-00393","5940510|6105013|5949880|6237095"
"0:14-cv-00495","5805804"
"6:22-cv-00661","7995118|7456872|7450163|7991792"
"5:17-cv-00156","6952645|7400970|6904359"
"1:16-cv-01807","7490518|7010983|7720628|6910381"
"5:13-cv-02420","6164921|6371732"
"2:15-cv-01244","9107597"
"1:11-cv-00908","7142217|7161604"
"2:17-cv-01073","6499430|6672249"
"2021-1011","10961051|9796080|10901404|10913602"
"9:14-cv-81259","5351296"
"8:19-cv-02317","10258637"
"1:14-cv-08806","7296062"
"8:19-cv-01580","7530706"
"1:23-cv-00906","9043751"
"6:10-cv-00238","5206854|5828657|5812537|6970501|5251328|7894472"
"20-362","10703553"
"1:19-cv-00744","7213669|7124848|7311348|7124847"
"2:16-cv-00265","9986435"
"2:14-cv-09299","6525768|6868335|7343165|7739039|7593812|6542812|6529824|7650234|7702455|7522992"
"2:13-cv-02848","6671750"
"2:13-cv-02052","10304052"
"2:19-cv-00095","9314192|6013007|8277377|9801542|6790178|5955667|6976958|7069552|7088233|6002982"
"5:18-cv-02458","10217916"
"1:13-cv-00113","7231379"
"1:18-cv-00190","5774170|6002393"
"1:12-cv-01170","D687181"
"2:16-cv-01265","4813056"
"1:22-cv-00538","7992773|6430554|8424752|6651053|8651369"
"5:19-cv-01585","6865997|7104212|6655309"
"2022-1875","8281999|6820807"
"3:13-cv-04468","D572086"
"3:13-cv-01488","7369058|8330613"
"1:21-cv-01248","6733424|8287438|7066867|6416446|6629910"
"1:19-cv-01000",""
"1:18-cv-01816","9546775|9562673"
"2010-1160","9077035"
"4:10-cv-03150","7309302"
"2:20-cv-03723","7689617"
"2016-2543","8600553|8474090|9486924|6809490|7155308|9038233"
"6:19-cv-00602","10443988|9989337"
"1:23-cv-01304","6436135"
"1:12-cv-00943",""
"1:21-cv-03987","D856321|9060588"
"3:16-cv-02356","6415207|7400970|6763299|6904359"
"2:14-cv-00206","D562049"
"1:15-cv-03491",""
"3:16-cv-02643","11403566|D647910|7603321"
"2019-1903",""
"2:20-cv-00278","6542077|7397363"
"2020-2149","7565359|8352854|9626342|5983227|7171414"
"2011-1096","6101502"
"1:21-cv-00875","5918590"
"1:11-cv-08540","5714504|7745466|8557285|6926907|7411070|6875872|6369085"
"6:12-cv-00860","D731799"
"1:14-cv-01289","D609396|D613450|D621092"
"1:23-cv-01728","8858534|8506554"
"1:16-cv-21761","D786668"
"2:14-cv-01070","7008700|D621068"
"1:17-cv-01314","6895118|9721273"
"23-1126","7391159"
"2018-1286","9054728|7415530|9667751|9026568|10019458|7378992|8643513|8717203|9448738|8933825|8717204|9116908"
"1:19-cv-01343","5387949|D523461"
"2:11-cv-00457","9148931"
"3:12-cv-00024","6970706"
"2021-2291",""
"1:18-cv-12215","10004301"
"8:12-cv-01562","11058667"
"3:13-cv-00240","D564216"
"1:20-cv-00538","8295862"
"6:16-cv-00955","7396760|7231626"
"2:15-cv-00385","8421619"
"1:11-cv-01171","6266674"
"6:14-cv-01026","9462737|9326439"
"2019-1941","6321095"
"2021-2128","8122141"
"1:14-cv-01556","6585212"
"6:10-cv-00065","6330592"
"2018-2310",""
"6:17-cv-00654","10559199"
"2011-1494","6097393"
"1:22-cv-11906",""
"20-260","4879096|4526407|4407478|4903997|4410004|4890418"
"2:11-cv-08182","6691181|7366804|6401222|6687858|7249203|7409601|5983002|7653766|7069475|7251752|6842802|7472207"
"2014-1421","8296258"
"1:13-cv-00403","10449087|9039718"
"4:15-cv-01718","8402281|6321201"
"2:19-cv-06301","6211229"
"2018-2429","8786133|9331489"
"2:15-cv-10970","7562276|7573249|7216276|6903448|7444571|7379718|7496818"
"2:11-cv-02798","6612985"
"6:22-cv-00846","9546281|8545613"
"6:17-cv-00275","D808004|D614757"
"9:13-cv-80041","9517226|9937143|11135192"
"4:11-cv-00751","7790755|6664276"
"2:13-cv-00340","6310864"
"6:12-cv-00172","9060976"
"2:15-cv-00505","9888425|8855637"
"2:19-cv-01235","D501994|D501719|7395930"
"4:20-cv-00415","8838074|8843141|8843120|8098600"
"1:17-cv-01238","10076665"
"2:21-cv-00202","8496111|7931148"
"3:13-cv-03757","6574638|6212527|6549911|6477537|6092080|6199060|6581071|5832499|5813014|6353831|5832495"
"1:17-cv-00309","9084084|9218982|8903067"
"1:10-cv-00046","10070588"
"1:14-cv-01574","7596900"
"1:22-cv-01877","7851482|8329216|8309122"
"22-1167","6047223"
"1:17-cv-00916","6205431"
"1:20-cv-00718","7706819|9888107|8620364|8055285"
"4:21-cv-04514","D618572|D614522|D614063"
"2:10-cv-02252","6873245|6275166"
"2020-1399","7472175|8725832|7069310|8959181"
"12-1041","7627528|7610244|7483856|7567937|7599881|7512563"
"1:16-cv-03159","6490296"
"8:11-cv-01482","5686726|5581080"
