"case_no","patents"
"1:20-cv-00767","5781784"
"20-1258","5977958"
"1:19-cv-02176","6876962"
"2:15-cv-08125","9687454"
"6:12-cv-00178","7299510"
"1:15-cv-01668","8066076|8776893|8573306|8272435|8540018"
"2020-1406","7451106|7788143"
"2:21-cv-00554","5592491|5481546|5663757|5388101"
"6:21-cv-00803","7594168|9471287|6546397|9063755|9928044"
"2:17-cv-00088","9427449|6462029|8426567|7452871|7026302|9649329"
"2:22-cv-00248","9889961"
"3:16-cv-02321","8093296|7915269|8415396|7935731|7619004|7981938|7964647|8440722|7820681|8440721|8097655|7601758|7964648|8093298|7906519|8415395|8093297"
"2:16-cv-00517","9456086|7023979|10491748|7269253|10237420"
"1:11-cv-00345","11090323"
"2:11-cv-15068","8093296|7915269|8415396|7935731|7619004|7981938|7964647|8440722|7820681|8440721|8097655|7601758|7964648|8093298|7906519|8415395|8093297"
"2017-1175","6934858"
"2:12-cv-09895","RE43462"
"1:14-cv-01143","5490216"
"1:18-cv-05586","8256916|8362700|8089370|7429827|7196477"
"14-717","10094542"
"1:18-cv-00313","7214695"
"2019-1255","6110228"
"2:13-cv-00174","7104347|8630761|7237634"
"3:11-cv-03331","8229104"
"1:20-cv-00583","7456872"
"3:14-cv-05923","8505620"
"1:20-cv-00197","7305704"
"2:13-cv-00686","10932580|10433648|10182659"
"6:21-cv-00439","9180125|8822490|8420663|8552025|8247425"
"2019-2057","8039009|8168209|8173708|8283379"
"2:22-cv-01577","7298361|7863860"
"2:14-cv-00826","7986319"
"6:21-cv-01155",""
"2:14-cv-00664","5625410|RE43462"
"3:16-cv-00928","10063761|11153472"
"1:11-cv-00679","7088782"
"2:19-cv-13089","8324189"
"1:21-cv-01100","6639538"
"2:18-cv-00171","8669240|9683256"
"3:13-cv-00605","10828310"
"1:12-cv-01480","9720623|6763357|7185000|7904419|9851923"
"2:17-cv-01457","9510899|9095357"
"1:17-cv-07914","7934090|6004049|7310304|6301626|7088782|7373655|7706458"
"1:13-cv-00508","8716436"
"1:22-cv-02826","7927562"
"1:22-cv-06131","8081993|7395078|9026428|11087750|11393461"
"2018-1527","10844697"
"1:14-cv-00345","9054860"
"6:19-cv-00396","5770421|5529925|6696548"
"1:13-cv-01426","7124927|7389905"
"8:23-cv-02098","10204261"
"9:18-cv-00180","6313452"
"1:11-cv-09027","5500650|5583850|5974078|RE41562|5266925|RE41531|6459726|5986570|5627544|7265674"
"3:14-cv-05588","7949176|7778457|8000514|7978900|7953268"
"5:14-cv-03928","5463750"
"8:12-cv-00910","9373104"
"1:14-cv-00268","6520485"
"8:19-cv-01731","10791763|10791762|D853635|D823534"
"2:15-cv-01822","8426034|6928764"
"4:23-cv-00496","6751677"
"21-2363","8924502|RE46386"
"2:16-cv-01452","7890366|7860744|8738435|6999938|8234184"
"1:20-cv-03264","8222723|7989944|8238113|7609527|9107324|8368201"
"1:18-cv-00070","6529725|6047270|7096003"
"6:22-cv-00406","7593374"
"1:12-cv-00381","7756129"
"2:10-cv-04371","8108492|5987500"
"1:22-cv-00712",""
"6:10-cv-00221","9510899|9095357"
"5:14-cv-02360","5845070"
"2:16-cv-00115","5874471|6028107"
"23-1422","7941822|8341679|8984565"
"6:15-cv-00945","7158432|7518947|5962926|7626276|7230505|7746716"
"2:22-cv-00492","6603490"
"3:16-cv-02693","7673748"
"1:13-cv-00539","8764340"
"3:23-cv-05261","6725594"
"23-1174","6878703"
"1:20-cv-10301","D758737"
"6:20-cv-00949","6321095"
"1:13-cv-00375","8204437"
"6:12-cv-00703","6375646"
"1:22-cv-01149","6738155|6611349"
"3:18-cv-00574","D759942|D709668"
"337-TA-1362","7642730|9847029|10181109|7051212|10796268|7482920|7253731|10152876"
"23-1362","6824581|7122068"
"2015-1565","6609061"
"1:21-cv-03925","D616485"
"2:21-cv-00167","8703652"
"1:13-cv-06487","7954666"
"6:22-cv-01015","8733601"
"2:21-cv-00500","7001276|7338377"
"2017-2556","8719090"
"1:23-cv-04183","6917304"
"1:10-cv-00122","6953545"
"1:20-cv-01590","8805027|7734073|8768610|7860648|8392114|7522996|9214033"
"1:15-cv-00118","7712683|7930068"
"1:12-cv-00888","7231626"
"1:22-cv-11383","9300723"
"1:14-cv-01059","6249868|6594765"
"3:17-cv-01168","5904172|6037723|5562484|6397419|5509154|5903941"
"1:21-cv-01353","11603263|10683165"
"2:12-cv-00019","7571850|7597251|7699220|8132715|7621444|7591420|6945457|7600677|8132714|7837101|7575158|7617973|7793830|7597248|7802718"
"2:18-cv-03058","8357697|8039627"
"2:14-cv-00703","5974550|5991399"
"1:22-cv-00737","8239481"
"8:23-cv-01054","7346472|8214175|7660700|7949494"
"2019-2393","10322315|10022590"
"3:21-cv-19918","8602041"
"9:04-cv-81081","9765544"
"2:21-cv-00919","8468199|8224913|8209389|8468198|8161104"
"5:12-cv-00136","8431598|8193219|7977357"
"1:15-mc-23746","7208895|7626349"
"2011-1493","8366268"
"1:20-cv-00719","7162696"
"1:21-cv-01681","5583850|5974078|5986570|RE41562|5266925|RE41531|6459726|5500650|5627544|7265674"
"5:21-cv-00778","6868079"
"3:23-cv-01152","6616749|6814796"
"3:14-cv-03151","6918082"
"8:22-cv-00105","6952478"
"2:18-cv-10613","7101574|7863331"
"8:13-cv-02240","6038295"
"2:21-cv-00352","8554089|8005415|6462756|8019255|6305684|6509974|7658375|8220795|6993278|7720425|8591022|6718285|6799005|8805239|6203005|8634113|6411314|7502582|6909856|6724998"
"2:10-cv-01927","D895969"
"5:12-cv-03323","10282960|9883001|8265938"
"2:14-cv-01177","5940510|6105013|5949880|6237095"
"2:14-cv-00823","8451787|8249022"
"9:14-cv-81401","5831669"
"4:13-cv-04008","8949954|7016676|6836654|6349154|8194632|6329934|6473114|6452515|6519005|9141489|6952450|8407609"
"1:15-cv-01170","8108492|5987500"
"1:10-cv-02727","6695000|6905108|6866244|6698449"
"1:14-cv-00942","7128617"
"6:22-cv-00476","D681744"
"5:10-cv-00707","D554434"
"2:11-cv-10274","6989741"
"3:19-cv-00257","6671757|7587446|6757696"
"1:13-cv-01946","7895127"
"4:19-cv-00014","5506866"
"2:22-cv-00407","8004389"
"2:16-cv-00879","5620481|5693078|7151964|5383917"
"4:14-cv-00477","8843549"
"2015-2055","5893071"
"2:19-cv-10966","7324301"
"1:12-cv-01384",""
"2014-1143","8283758|8361899|7944048"
"2019-2040","6346795"
"3:12-cv-00523","7916877"
"6:22-cv-00460","7280838|7499716|7835757"
"6:21-cv-00815","7981946|7491753"
"2018-1340","8374511|6469816|8913898|6476952|7099592|6594055|7620327"
"1:12-cv-00018","7975726|8667992|8667991"
"5:13-cv-04510","8579588"
"2:12-cv-00442","8539912|8757100"
"1:10-cv-03981","6502135|7188180"
"3:12-cv-03011","D521850"
"3:17-cv-13819","6411941"
"2:12-cv-10763","7222078|7620565"
"1:15-cv-01693","8617663|9242763|8835012"
"1:19-cv-01489","5565467|5998427|5846976"
"2:05-cv-00869","6673027"
"1:23-cv-00655","7785895|7585680"
"5:10-cv-01162","8834457|8967883|8961040|8337097"
"2:17-cv-00124","7199715|6633900|6909356|9047586|8494581"
"23-1615","8195569"
"2:16-cv-00696","5412730"
"1:19-cv-01493","8648077"
"1:16-cv-02165","6829027"
"1:19-cv-00131","5615342|5367627"
"1:18-cv-00549","5530431"
"2019-2162","10445966"
"2:16-cv-01283","6403649|7388029|8038988|7351404|8017655"
"1:22-cv-00724","D577601"
"2019-1453","10603259|10646419"
"2:13-cv-00349","6900221"
"4:10-cv-03106","11089933"
"3:20-cv-00528","8867351|9497743|9226320|8787924"
"2:16-cv-00722","6006227"
"1:13-cv-01480","D697018"
"2:11-cv-00102","7222078|7620565|5999908"
"1:21-cv-10694","10715235"
"3:10-cv-00907","5601091|6602202|7014613|7399282|6832663|5916174"
"1:21-cv-00116","8902760|9019838|8942107|8155012"
"1:21-cv-00798","10149820"
"2:17-cv-00720","6611231|7729728|7062296"
"2:10-cv-02086","D621068"
"23-1059","8538011|RE44307|7475246|7287275|RE44222|8739295|9021602|9104842|8473746|8224705|7159116"
"3:10-cv-01460","7906489|8586551|7378508|7863249|4918174"
"1:12-cv-00076","7178862"
"1:14-cv-02122","7327369"
"2022-2208","7326708"
"2:14-cv-06044","8788769|8299944"
"2:18-cv-08519","6937187|7530027|7437583|7512752|8284844|8902104"
"3:19-cv-02681","6658464|7409450|7120462|7810144|6412953|6557054"
"1:11-cv-01104","6530065"
"5:10-cv-06826","6012070"
"3:10-cv-01217","7868880|7573068"
"6:20-cv-00581","8438314|6311231|6668286|7159043"
"2:10-cv-00440","8560836"
"2:12-cv-07621","8311945"
"4:13-cv-40077","7390509|6814983"
"1:17-cv-01625","7424020"
"8:20-cv-00125","7454002"
"1:17-cv-01833","D915118"
"3:11-cv-02002","8201968"
"2:13-cv-00277","9055144|9037128|9571716|9503627"
"1:21-cv-00310","9781164|9756079|9106683|9747444|8789202|8631488|9843595|8365272"
"1:21-cv-01760","D652019|D655689"
"6:22-cv-01197","8313023|8511550"
"2:14-cv-00232","7231485"
"1:21-cv-00222","6216139"
"3:15-cv-00508","6685840"
"3:21-cv-00975","7423982"
"1:21-cv-03929","10154551|11019697|10652979"
"4:12-cv-02981","5854936"
"1:10-cv-05447","7305999|6701941|6267125|6273108"
"1:12-cv-01061","6546397|7594168"
"2:14-cv-00005","6101502"
"3:16-cv-01262","5912895|6587473|6327264"
"1:13-cv-00361","5490216"
"1:14-cv-00306","5434562"
"1:12-cv-01739","9225572|8891560|8107456|7916714|9191173"
"1:20-cv-00848","6408128"
"1:15-cv-20575","D812992"
"6:22-cv-00512","9569755"
"5:20-cv-00109","3282330|4341470|4086652|3286582|4420690|5579462|4943764|4420960|4138727|4616329|4935633|5505422|4958308|3363830|3841920|5671047|4413908|4828367"
"2:20-cv-09998","D527834"
"2:16-cv-01383","4802057"
"1:13-cv-03284","7791741|5586254|7200613|7055059|6393432"
"6:20-cv-00646","11805267|10536714|7724818|8077991|8050321"
"6:11-cv-00624","6208636"
"2:14-cv-00371","5251294"
"8:12-cv-00773","8344106|6323319|6025327|6838440"
"1:19-cv-01562",""
"3:21-cv-06704","6452317"
"6:14-cv-00751","D377081|4759844|D551736|4925551|4856559|5147533|D364672"
"2011-1359","8023647"
"6:11-cv-01448",""
"6:18-cv-00660","686900"
"16-1123","8148374"
"1:21-cv-00645","7762994|6268343|RE41956|6265343|8579869|8114833"
"3:17-cv-06563","7456168|7208489|RE47739|6936612"
"337-TA-807","8413725"
"2018-1320","6606287|6473532|7715476"
"8:16-cv-01265","5342100"
"6:16-cv-00300","6760720|7188100"
"2:16-cv-00932","7177291"
"3:12-cv-04087","9092428"
"6:20-cv-00629","8821835|9636402|9636401|10493181"
"1:12-cv-00501","9433225"
"1:17-cv-00874","9572797|9265831|8609707|10010533|11103483|9572796"
"5:18-cv-03453","6083953"
"2:15-cv-01574","8717203|9116908|9054728|9667751"
"2:18-cv-03142","D676898|D554689|D692047|D659180|D556818|D620970|D659182|D728664|D616919|D547794|D610604"
"1:20-cv-01436","7606843|8239347"
"1:15-cv-00232","7124205"
"2020-2044",""
"2:23-cv-00508","8108492|5987500"
"1:14-cv-00631","6965097|7784118"
"2021-2074","5747282|6033857|5837492|5693473|5753441|5709999|6162897|5710001"
"1:22-cv-00326","6362697|6838752"
"21-2184","9566290|9566289|9549938|9572823"
"1:20-cv-01741","8494490|8792874"
"2:11-cv-00180","6513016|6076071"
"2:16-cv-01215","6643885"
"2021-2167","10513078"
"2020-1738","5987606"
"6:13-cv-00387","5907823|8713476|8434020|7072667|7693552|8498671"
"2:13-cv-00676","8522719"
"6:12-cv-00119","8508607"
"8:22-cv-01027","6827957|6312746|6254910|6117477"
"1:22-cv-10281","7489786"
"2:16-cv-00417","10394257|9823666"
"2:10-cv-00548","8862508"
"6:23-cv-00184","8642012"
"6:15-cv-00029","6605057|6190358"
"1:19-cv-10990","8232250|8399413|8969302"
"1:16-cv-00397","7137140"
"1:17-cv-01516","D746354|9465235"
"6:20-cv-01210","7375282|RE43221"
"3:23-cv-00157","9413711"
"2:16-cv-00035","RE40041"
"1:15-cv-00003",""
"3:16-cv-00773","6570932|7062022|5970100|6819749|6332009|6504886"
"2:21-cv-00030","7743213"
"1:16-cv-09758","7941822"
"1:20-cv-03958","9840491"
"4:11-cv-00146","D842363"
"2021-2105","6911652"
"6:19-cv-00525","7162549|7295443|7522424|6976623"
"2016-2397","6327579|7080051|6014651|6411943|5771354|5901228"
"2:16-cv-02723","7827581|9344183"
"5:21-cv-03828","6968837"
"23-1051","8061758|7537264|7188888|8690224|9815358|7484788|8182021"
"4:20-cv-02148","7779267"
"4:14-cv-00741","RE40281"
"1:12-cv-00554","6816356"
"2:21-cv-00201","9359302"
"1:17-cv-01488","6442485"
"2019-2349","8375212"
"1:17-cv-07601","6937090"
"3:20-cv-05571","10257717|11223417|9312947|9730077"
"1:13-cv-00864","8419505"
"2:12-cv-05678","8772306|7668730|7765106|7895059|831963|9050302|7765107|9486426|8457988"
"2022-1842","7543177|7197662|7958388"
"2016-2392","9630756|7118003"
"1:15-cv-09800","6071578"
"1:23-cv-11167","6236983"
"1:22-cv-06814","6999761|10187501|6330152"
"0:21-cv-02357","7222078|7620565"
"1:12-cv-01396","7461024|8204819"
"2017-2559","5931160|6584973"
"2:11-cv-00083","9908281"
"3:11-cv-01698","6984234"
"1:16-cv-07113","9289779"
"2018-1814","8223012|9003499|8493207|8717166"
"2020-1920","6415207|7400970|6763299|6904359"
"1:17-cv-00090","6377637"
"3:16-cv-00962","8099420|7945544|5978791|6928442|7802310"
"5:17-cv-00192","8266432"
"2016-2538","7690673"
"2:17-cv-01440","7343357"
"5:12-cv-01952","5412730"
"23-1883","7237634"
"2020-2206","9490652|10193392|7825537"
"1:14-cv-05537","6671307"
"4:23-cv-00067","9729959|10469934|10491982|10206025|10506325|10298451|9060288"
"1:22-cv-02046",""
"3:18-cv-07530","7319414|9373261|7876239"
"6:11-cv-00585","6178380|6029111|6374180"
"2:22-cv-00389","6700340"
"1:18-cv-01256","5597815"
"1:19-cv-00346","6738155|6611349"
"3:11-cv-03009","2123620|2083106"
"2:16-cv-00311","D481507|D472357|D528831|D489502|D532630"
"5:23-cv-02058","8860051|8124991|10217916|10454010|7781789|9240529|8368109|8835959|8294166|9859464"
"1:14-cv-00370","5388198"
"1:12-cv-01433","8709001"
"6:21-cv-01262","7566771"
"1:12-cv-24107","6546397|9063755|7594168|9471287"
"2013-1565","8099420|6415280|7945544|5978791|6928442|7802310"
"1:23-cv-01165","8381309"
"1:21-cv-01485","9189437"
"2:15-cv-01375","7788145"
"2:13-cv-08122","6936169"
"9:22-cv-81723","8710948"
"2020-1865",""
"6:11-cv-00659","6917304"
"6:23-cv-00811","6604100|7657531|7152018|RE46513|7392160|8051098"
"3:15-cv-03322","7709517|8183274|9126941"
"4:15-cv-00224","RE40188"
"3:20-cv-00607","8201877"
"2012-1094","7254621|6925481"
"6:21-cv-00174","8712846|8396743"
"1:22-cv-01521","7917285"
"2:15-cv-01291","6857074|7895313|7934148|7895306|7836141"
"8:11-cv-00590","5592491|5481546|5388101"
"2022-2069","7145442"
"2:13-cv-00848","8970345|8410895|9483935|7180260|7956718|7173516"
"1:21-cv-00661","8096869|8622810|8616955|8366540"
"1:12-cv-01689","8213578|6594346|6233314|5909482"
"1:14-cv-03708","7010572"
"2:14-cv-02072","5999091"
"4:22-cv-06083","6671307"
"5:13-cv-01310",""
"1:22-cv-00485","7324833"
"2:23-cv-03305","8827549|8449175|9103782|9404876|10254239|254239|10036715"
"3:17-cv-00369","RE39470"
"1:18-cv-10996","7435427|8367102"
"2:15-cv-01901","8099420|6928442|7945544|7802310"
"2015-1920","7454212|6947748"
"1:12-cv-01761","8956231"
"2:15-cv-00068","5943274"
"2:15-cv-01720","5634283|6915595"
"1:20-cv-00670",""
"1:13-cv-03315","7046327|6549259|6870593|6812528"
"1:22-cv-01644","8300763|7400701|7505562"
"6:23-cv-00002","7547289"
"2:14-cv-01150","8175519|7065555|7693950|7386594|7979057|9747608|8150736|10783529"
"1:18-cv-01105","D616189|D599999"
"2:15-cv-05213","10133888"
"6:19-cv-00052","8288269|8049340"
"4:23-cv-00071","7774712"
"1:21-cv-00150","6952645|7400970|6904359"
"1:15-cv-00821","8591938|8592480"
"4:22-cv-02486","6088398|7693542|7885684|8019381|6865372|6484027|8265691|8792828|8346169"
"1:20-cv-01637","5093124|5104900|D300163|4890416|4782622|4646686|4245423|4580767"
"2:16-cv-00341","9161365|8493999|9071994"
"4:21-cv-07559","9737488|8877933"
"2:16-cv-00495","8065527"
"5:10-cv-01982","7404660|7384177|7434973"
"4:11-cv-01034",""
"1:10-cv-00888","9839637|7888362|8349840|10307419|8618109"
"2013-1615","8277218"
"6:21-cv-00526","6623353"
"2:11-cv-03352","8501730"
"2:23-cv-00555","9978107|7565344"
"6:12-cv-00599","6272533"
"6:15-cv-00745","7088854|7254266|8687879"
"2011-1592","7171526|7573416"
"3:17-cv-00880","6979210"
"1:20-cv-01242","8712846|8396743"
"8:16-cv-02036","7027418|7477624|7903608|7570614|8873500|9379769|8542643|9883520"
"1:19-cv-05365",""
"1:19-cv-10303","D521850"
"2:14-cv-00658","6630937"
"0:21-cv-02458","8887688"
"6:22-cv-01082","9498419|9668954"
"6:20-cv-01157","7780003|7134551"
"2:23-cv-00593","8597391|8679236"
"1:14-cv-00696","10104915|10076139|10070669|10058130|10045568"
"3:10-cv-03481","6752449|6893073"
"1:21-cv-04092","6556905|6975222"
"2:16-cv-01605","5592491|5481546|5388101"
"15-1195","8217078"
"4:20-cv-00077","5667775"
"1:12-cv-01394","D500970|D510551|D496890|D498444|D501162|D493552|D582065|D539448|D500969|D493753|D508223|D500717|D496615"
"1:17-cv-01552","5790530"
"2:12-cv-00705","5572576"
"1:15-cv-00498","7099849"
"2:14-cv-00388","7413747|8246979|8246980|8617591|6884434"
"1:18-cv-00453","8069073"
"3:13-cv-01395","11426348"
"2:23-cv-00222","9391474|8595054|8749403|9424691|7854310|8513832"
"2019-1830","6986226"
"1:19-cv-02011","9509080"
"2014-1262","6266674"
"2:22-cv-00045","7245917"
"3:16-cv-01806","5779924|4214251|6172382|5734225|6118801|5679965|5751752|5291507|5309001|5814839|6072819|5656832|5777350|6147364|5828086|5959307|5003357|6107644|5959401|6091083|9324791|6163557|5905275|4774435|5146465|6153894|6111277|6091085|5987048|5696389|6095666|5753939|5955748|5834331|5900650|5656186|5932896|4163953"
"4:12-cv-00811","D804596|D815220"
"3:17-cv-03182",""
"2:12-cv-01640","RE43462"
"1:14-cv-01398","6150947"
"1:13-cv-04137","6223295"
"1:23-cv-01506","9564281"
"6:15-cv-01063","8533860"
"2021-1807","D487424|D458214|D653200|D610976|D626913|D610977|D610975|D615031"
"1:14-cv-00302","7479899"
"1:18-cv-02050","6269275"
"2:23-cv-00394","6393771"
"5:11-cv-00050","8843549"
"1:18-cv-09110","5657461"
"3:11-cv-05503","8351895"
"2020-1207","8302356"
"2:16-cv-01307","8862508"
"2:13-cv-03374","6289434"
"6:17-cv-00361","5847170"
"2:11-cv-01931","7437583"
"3:21-cv-03321","8062667|8956649|9040083|8563033|8287903|88956649|8778390|8788390|8465765"
"4:17-cv-05931","6631715"
"3:15-cv-06025","9145532|9144751"
"2:13-cv-00371","5569082|5709603"
"3:13-cv-02981","6317060|6415207|6763299"
"1:13-cv-01915","6920437|7899751|5864623|7478067|6463416"
"1:14-cv-01551","6615489"
"337-TA-1151","7231379"
"3:16-cv-01859","RE41783"
"2:15-cv-00948","9302009|7214506|8039494|9877955|9566272|9861698|8486978|9662394"
"1:20-cv-00019","7500201"
"2:21-cv-00424","7007507"
"8:10-cv-02649","5787586|5813293|5918369"
"2:20-cv-02713","6216139"
"2020-1149","5579222"
"1:20-cv-00490","D673081|8807250|D729698"
"2:13-cv-00167","10912771|10857137|10906902|10919892|11026939|11040029|10851103|10874648|10952997|11026931|10844058|10065952|10906903|10940141|10993941|10857148|10851104"
"1:17-cv-01192","9141612|7552118|6963866|7836067"
"2020-1753","5433433|5244213"
"2020-1364","6216139"
"2011-1355","9047484|8572173|9047483"
"337-TA-1230","6393158|6335730|7467218"
"2:14-cv-00607",""
"1:18-cv-00212","D715996"
"2:15-cv-01493","5592375"
"8:15-cv-01689",""
"2:16-cv-01331","5717881"
"1:14-cv-00902","9057567|10274266"
"2:17-cv-05602","9320716|8784888|7410651|RE43799"
"2020-2015","5731847|5583577|RE40468|6661472"
"3:12-cv-06410","10279289|6706181|8673138|6936169"
"1:12-cv-01420","10791763|10357623|10791762"
"337-TA-830",""
"1:12-cv-01762","RE46459"
"6:20-cv-00798","6848385|D527702"
"2:22-cv-00433","7594168|9471287|6546397|9063755|9928044"
"1:18-cv-00615","5555478"
"2:16-cv-00849","6914893|8964708|7103511|8924588|7697492|7263073|8924587"
"2:15-cv-07138","8649538"
"1:13-cv-02636","6311231|6668286|7159043"
"3:13-cv-00713","8338489|8987262"
"6:16-cv-00413","7690148|6327812"
"1:18-cv-01272","6502576|6164283"
"1:19-cv-02246","7225793|6955081"
"5:17-cv-02724","7503502|6298332|7703686"
"1:21-cv-00598","RE43462"
"2020-1147","6465961"
"2:14-cv-09340","RE44153"
"1:21-cv-00576","7827581|9344183"
"6:22-cv-00373","D769390"
"1:17-cv-01692","6115690|6343275"
"0:11-cv-62720","9031537"
"3:12-cv-00775","7357034"
"1:19-cv-05633","7706819|9888107|8055285|9390435"
"4:13-cv-01300","9157114"
"1:20-cv-00675","7454002"
"2:14-cv-01171","7890366|8352317|7860744|8606632|5987434|6999938|8234184"
"6:13-cv-00265","10096000|6662194|7490086|9760864"
"1:13-cv-00265","8132720"
"3:11-cv-01555","9578040|9497035"
"23-1287","7551732|7783021|8509736|7853243"
"1:12-cv-06634","7914196|7404660|7384177|7537370|8215816|6755547|7434974|7300194"
"2:13-cv-07914","8352923|9251041"
"1:17-cv-01849","11348491"
"2:15-cv-00450","8102256"
"2018-1382","D464532"
"3:18-cv-00887","RE44633|7352685|7801016|8593931"
"1:21-cv-01510","8117644|6845448"
"1:13-cv-00902","9430131"
"2022-1676","5861348"
"337-TA-1119","6354479"
"2:12-cv-00744","6263439"
"1:14-cv-00417","7838032|6955821|6372252"
"2017-1134","6071970"
"1:11-cv-01176","5891546"
"5:15-cv-00056","8119358"
"6:16-cv-00350","7789809|8136208"
"1:19-cv-00450","6053845|6261207"
"2:15-cv-01326","5500515|5498859"
"6:12-cv-00620","6642245|8716264|6703396"
"23-2371","D533752|D535859|D534772"
"1:21-cv-00942","6117872"
"8:13-cv-00215",""
"2:17-cv-01071","6049835"
"0:15-cv-60579","8185408|7333937"
"1:19-cv-01576","RE43462"
"2020-1036","6965667"
"1:21-cv-00181","7589642|10600317|9716853|7969514|9911325|10593196"
"1:10-cv-11882","7522996"
"1:19-cv-03071","D837537|8141951|7625043"
"2:13-cv-00411","6290903"
"5:18-cv-00807","5373149|5206854|5251328|6236717|5828657|5719922|5812537|6970501|5444704|7894472"
"6:13-cv-00834","7454212|6947748"
"2:11-cv-06498","6266674"
"1:15-cv-03893","7181252|6611252"
"1:18-cv-00972","7280534"
"2018-2430","D791489|D766587"
"2:20-cv-00359","7997042"
"3:18-cv-00675","8223012|9071931|9003499"
"2:14-cv-00340","7513893|7211070"
"6:13-cv-00787","7997044"
"2:21-cv-00421","6715554"
"1:16-cv-01121","7030781|6952645|7400970|6714859|6904359|6486801"
"23-1165","8414921|7326708"
"2:13-cv-00920","6570610|6002427"
"2013-1046","5829819"
"1:22-cv-03129","6876979"
"5:22-cv-01490","7333591|7162008"
"2:22-cv-00337",""
"0:17-cv-01100","5388198"
"8:22-cv-00044","6825780"
"1:12-cv-00637","6134303"
"2:12-cv-00233","6919053"
"3:21-cv-07561","6049835"
"6:22-cv-06404","7030781|6952645|7400970|6714859|6904359|6486801"
"1:17-cv-00672","8014943|7817085|7327312|8032297|8805416|6995708|8717231|8478527"
"2:21-cv-00106","8350077"
"8:22-cv-02072",""
"2012-1082","D671715"
"17-695","D156012"
"2:16-cv-00444",""
"1:20-cv-04368","7099837"
"2017-1302","7212536"
"3:12-cv-01513","9923949"
"5:15-cv-01137","4421053"
"2:11-cv-00052","6873245|6275166"
"6:16-cv-00447","6252167"
"6:16-cv-00095","8978985|9465970|8794520|7159783|9659199|7527206|7148923"
"2:21-cv-00471","5388198"
"1:13-cv-00335","D690707"
"5:14-cv-04823","7299067"
"3:14-cv-04860","5665772|6455518|6004973"
"2022-1297","10262009|7552118|9928275|10013435|10402447|6963866|9141612|7836067"
"1:16-cv-01116","6658400"
"1:13-cv-00032","7672681|7031728|7764954|8126441"
"2:10-cv-04481","RE43462"
"5:11-cv-00046","RE42339"
"2:21-cv-00021","6574267"
"2:16-cv-00205","8549443|7818691"
"1:22-cv-11385","7180506|7190356"
"2:18-cv-14608",""
"1:16-cv-00681","6249868|6594765"
"2:15-cv-01251","8610573"
"22-1542","3910274|4350785"
"1:21-cv-00134","7334280"
"1:17-cv-00743","7957770|10880794|9509273|9705400|9853621|8472999|8792454|7151430"
"2:12-cv-03809","5809118"
"1:19-cv-00297","6777802|6396140|6825554|6566167"
"2016-1868","8424752"
"2:10-cv-00334","5841115"
"2:16-cv-04560","6397143"
"6:13-cv-01446","9840797|10240270|10100449"
"3:14-cv-00796","7490037"
"1:13-cv-00585","7639612"
"1:11-cv-20166","6175655"
"3:15-cv-01059","6944978|5353530|RE35700|4999935|5420480"
"2020-2242","6961369|9014243|8718158|8432956|8238412|8611404|7835430"
"2:18-cv-00375",""
"1:17-cv-00036","8665345|8305452|7730036|8024311"
"1:18-cv-00445","5618045"
"2:16-cv-01413",""
"1:16-cv-00045","8550651|9585431"
"1:18-cv-10678",""
"2:13-cv-00914",""
"3:15-cv-01067","5959990|RE45081|RE45095|RE40999|RE45065|RE44775"
"3:13-cv-02171","8595283"
"1:22-cv-11718","7194976|8601971"
"2:17-cv-05958","5513129"
"2021-1228","11004271|10945807"
"2:11-cv-00651","6594765"
"2:13-cv-00809","9903846"
"4:11-cv-04492","6292743"
"5:18-cv-00110","8217083|7541384|8436051"
"1:21-cv-00052","7814216"
"2:11-cv-07904","6646006|5891459|6117872|7452916"
"6:13-cv-00392","5952300"
"1:12-cv-00154","10145544|9316390|10125935|D757343"
"1:18-cv-00402","7904374"
"9:14-cv-81437","7032327"
"9:19-cv-00194","6141361"
"1:14-cv-00610","7065559"
"2:21-cv-02756","6978346"
"2:15-cv-01628","6243030|6140943"
"3:11-cv-00485","7222402|6935546|7467454"
"2:12-cv-00053","6978775|7226375|38096"
"2:14-cv-00236","7227899|7848328|7590991"
"1:10-cv-07885","7454002"
"3:15-cv-03379","8856221"
"4:20-cv-00605","10206025|10506325|10368155|10491982"
"4:14-cv-00244","7917285"
"5:15-cv-00166","5434797"
"3:22-cv-00373","8557177|8404180"
"6:20-cv-01166","5839108"
"5:12-cv-04882","7117171"
"1:16-cv-02703","7426730"
"2:15-cv-00299","9241519"
"2:12-cv-00532","5531482|6588658"
"1:20-cv-00350","8029059|9492014"
"2011-1300",""
"2018-2024","6813682|7228379|7159086"
"2:20-cv-11800","6073638|5806629|6112855"
"337-TA-1379","6656050"
"2:10-cv-01527","7174362"
"2018-2228","6514367|5817207|RE40145|6036099|6214155"
"0:10-cv-62213","RE36978|8102331"
"2:15-cv-01489","6202150"
"2:23-cv-00220","7196477|8362700|7429827"
"1:15-cv-23390","5930474"
"2012-1259","6430603|6005534|RE39470"
"4:19-cv-00102","9681561"
"6:21-cv-00411","6688196|6443039"
"1:16-cv-11714","7668301"
"2019-2414","6330549"
"1:15-cv-02156","RE42096|RE41148"
"2:15-cv-01872","7636805"
"2:16-cv-01060","6212662"
"2:17-cv-00352",""
