"imdb.uid","Country","Title","Type","imdb.rating","runtime","Year","Letterboxd.Rating","Letterboxd.Votes"
"tt0091355","Taiwan","the terrorizers","movie",7.9,109,1986,"4.13","3430"
"tt9620292","USA","Promising Young Woman","movie",6.9,113,2020,"3.9","274"
"tt0072443","Russian Federation","Zerkalo","movie",8.1,107,1975,"4.29","20132"
"tt4633694","USA","Spider-Man: Into the Spider-Verse","movie",8.4,117,2018,"4.44","285190"
"tt0051390","#N/A","Bab el hadid","movie",7.7,77,1958,"3.82","1728"
"tt7670864","#N/A","Balangiga: Howling Wilderness","movie",8,120,2017,"3.96","248"
"tt0019649","Ukraine","Arsenal","movie",7.2,90,1929,"3.73","684"
"tt2818654","UK","Rak ti Khon Kaen","movie",6.8,122,2015,"3.78","5361"
"tt0004972","USA","The Birth of a Nation","movie",6.4,195,1915,"2.57","8103"
"tt5164214","USA","Ocean's Eight","movie",6.2,110,2018,"3.21","102946"
"tt4701182","USA","Bumblebee","movie",6.8,114,2018,"3.32","51377"
"tt3303310","#N/A","Mula sa kung ano ang noon","movie",7.8,338,2014,"4","803"
"tt0083929","USA","Fast Times at Ridgemont High","movie",7.2,90,1982,"3.49","22630"
"tt0112553","India","bombay","movie",8.1,141,1995,"3.75","475"
"tt4241938","USA","The Ballad of Sexual Dependency","short",8.9,43,1986,"4.02","59"
"tt5613056","USA","Piper","short",8.4,6,2016,"4.02","21803"
"tt0305206","USA","American Splendor","movie",7.4,101,2003,"3.68","9396"
"tt0083922","Sweden","Fanny och Alexander","movie",8.1,188,1982,"4.34","12799"
"tt0053779","France","La dolce vita","movie",8,174,1960,"4.21","20137"
"tt1731701","USA","Barely Lethal","movie",5.4,96,2015,"2.35","5458"
"tt0089881","Japan","Ran","movie",8.2,162,1985,"4.35","31734"
"tt0276919","Denmark","Dogville","movie",8,178,2003,"4.03","26816"
"tt0171469","Ukraine","Legenda o knyagine Olge","movie",7.3,170,1984,NA,NA
"tt0100234","Iran","Nema-ye Nazdik","movie",8.3,98,1990,"4.31","14350"
"tt0071411","Russian Federation","dersu uzala","movie",8.3,142,1975,"4.07","4201"
"tt1667905","Iran","This is not a film","movie",7.5,75,2011,"3.78","3613"
"tt0062873","France","Les demoiselles de Rochefort","movie",7.6,120,1967,"4.18","7596"
"tt0032156","Japan","Zangiku monogatari","movie",7.9,143,1939,"4.09","2027"
"tt0265086","USA","Black Hawk Down","movie",7.7,144,2001,"3.56","47475"
"tt0102687","USA","Poison","movie",6.5,85,1991,"3.45","2417"
"tt0361748","Germany","Inglourious Basterds","movie",8.3,153,2009,"4.24","279459"
"tt3205376","New Zealand","Slow West","movie",6.9,84,2015,"3.53","20866"
"tt0062164","Hungary","A Pál utcai fiúk","movie",7.9,110,1968,"3.65","190"
"tt0095016","USA","Die Hard","movie",8.2,132,1988,"4.14","126873"
"tt0066237","#N/A","Pratidwandi","movie",8.1,110,1970,"3.96","251"
"tt0055852","France","cleo from 5 to 7","movie",7.9,90,1962,"4.16","19534"
"tt6410688","Brazil","Holocausto Brasileiro","movie",8.2,90,2016,"4.11","389"
"tt0063278","Germany","Marketa Lazarová","movie",8.1,162,1967,"4.19","3224"
"tt1588895","Thailand","Loong Boonmee raleuk chat","movie",6.7,114,2010,"3.76","10660"
"tt3521134","Denmark","The Look of Silence (2/2)","movie",8.3,103,2014,"4.22","9288"
"tt7778656","USA","Love is the Message, the Message is Death","short",8.4,8,2017,"4.14","254"
"tt5658540","Portugal","Mosquito","movie",6.8,125,2020,"3.24","73"
"tt0095475","Hungary","Kárhozat","movie",7.8,120,1988,"3.96","2566"
"tt0120915","USA","Star Wars: Episode I - The Phantom Menace","movie",6.5,136,1999,"2.57","163240"
"tt1454029","India","The Help","movie",8.1,146,2011,"3.83","68938"
"tt0157160","Mali","La vie sur terre","movie",6.6,61,1998,"3.44","161"
"tt0300214","#N/A","Morvern Callar","movie",6.8,97,2002,"3.73","6137"
"tt0105415","USA","Singles","movie",6.7,99,1992,"3.22","5835"
"tt0028597","USA","The Awful Truth","movie",7.7,90,1937,"3.84","5294"
"tt0128332","#N/A","Masumiyet","movie",8.3,110,1997,"3.96","1144"
"tt0352625","#N/A","Nelson Cavaquinho","short",7.8,17,1969,"3.97","121"
"tt0018633","USA","the air circus","movie",8.4,118,1928,NA,NA
"tt0054331","USA","Spartacus","movie",7.9,197,1960,"3.73","21920"
"tt0000417","France","Le voyage dans la lune","short",8.2,13,1902,"3.99","34118"
"tt0058985","France","Le Bonheur","movie",7.6,79,1965,"3.98","6223"
"tt0033870","USA","The Maltese Falcon","movie",8,100,1941,"3.96","25692"
"tt0114323","UK","Safe","movie",7.2,119,1995,"3.95","9528"
"tt0118849","Iran","children of heaven","movie",8.3,89,1997,"4.01","5285"
"tt0042434","Mexico","in the palm of your hand ","movie",7.5,90,1951,"3.67","130"
"tt0162661","USA","Sleepy Hollow","movie",7.3,105,1999,"3.38","54474"
"tt0264464","USA","catch me if you can","movie",8.1,141,2002,"3.95","129281"
"tt0112585","USA","The Brothers McMullen","movie",6.6,98,1995,"2.99","988"
