"","prejudice_trans","treat_ind","white","hispanic","black","age","female","racename","democrat"
"331",0,1,0,0,1,38,0,"hispanic",0
"332",50,0,0,1,0,64,1,"white",1
"333",14,0,1,0,0,24,1,"black",1
"334",50,0,1,0,0,46,1,"black",1
"335",100,0,1,0,0,51,0,"black",1
"336",29,0,0,1,0,76,1,"white",1
"337",28,1,0,1,0,74,0,"white",0
"338",50,1,0,0,1,71,1,"hispanic",0
"339",50,1,1,0,0,56,1,"black",1
"340",15,0,0,0,1,25,1,"hispanic",0
"341",100,0,0,0,1,45,0,"hispanic",1
"342",100,0,0,0,1,55,1,"hispanic",1
"343",50,0,0,0,1,52,1,"hispanic",0
"344",90,0,0,0,1,20,1,"hispanic",0
"345",0,1,0,0,1,20,1,"hispanic",0
"346",50,1,0,0,1,64,1,"hispanic",0
"347",50,1,0,1,0,59,1,"white",0
"348",50,0,1,0,0,34,0,"black",0
"349",50,0,1,0,0,73,0,"black",1
"350",73,0,1,0,0,64,1,"black",1
"351",50,0,0,0,1,90,0,"hispanic",1
"352",29,0,0,1,0,27,1,"white",1
"353",50,0,0,0,1,57,0,"hispanic",0
"354",42,1,0,0,1,56,0,"hispanic",0
"355",50,0,0,0,1,71,0,"hispanic",1
"356",50,0,0,0,1,66,1,"hispanic",0
"357",80,1,0,0,1,69,0,"hispanic",1
"358",0,1,0,0,1,18,0,"hispanic",1
"359",0,0,0,0,1,18,1,"hispanic",0
"360",0,0,0,0,1,20,0,"hispanic",1
"361",50,1,0,0,1,65,1,"hispanic",1
"362",50,1,0,0,1,46,1,"hispanic",0
"363",50,1,0,0,1,41,0,"hispanic",1
"364",50,0,0,0,1,21,1,"hispanic",0
"365",50,0,1,0,0,47,0,"black",1
"366",20,0,0,0,1,53,1,"hispanic",1
"367",0,0,0,0,1,60,0,"hispanic",1
"368",0,0,0,0,1,19,1,"hispanic",1
"369",20,1,0,1,0,34,0,"white",0
"370",26,1,0,1,0,36,1,"white",0
"371",73,1,0,0,1,29,1,"hispanic",0
"372",100,1,0,0,1,51,0,"hispanic",0
"373",100,1,0,0,1,50,1,"hispanic",0
"374",0,1,0,0,1,87,1,"hispanic",0
"375",52,1,0,0,1,47,1,"hispanic",0
"376",0,0,0,0,1,19,1,"hispanic",1
"377",100,1,1,0,0,24,0,"black",1
"378",73,1,0,0,1,52,1,"hispanic",1
"379",100,1,0,1,0,46,0,"white",1
"380",42,1,0,0,1,39,1,"hispanic",1
"381",100,1,1,0,0,65,1,"black",1
"382",50,0,0,0,1,42,1,"hispanic",0
"383",50,0,0,0,1,56,1,"hispanic",0
"384",50,1,0,1,0,56,0,"white",0
"385",49,0,0,0,1,54,1,"hispanic",0
"386",100,1,1,0,0,30,1,"black",1
"387",77,0,0,0,1,20,0,"hispanic",0
"388",100,1,0,0,1,51,0,"hispanic",0
"389",50,1,0,1,0,60,0,"white",1
"390",78,0,0,0,1,61,0,"hispanic",0
"391",63,0,0,0,1,58,1,"hispanic",0
"392",60,0,0,0,1,24,0,"hispanic",0
"393",100,1,1,0,0,43,0,"black",1
"394",50,1,1,0,0,40,1,"black",0
"395",50,1,0,1,0,77,0,"white",0
"396",50,0,1,0,0,24,0,"black",1
"397",0,1,0,0,1,55,0,"hispanic",0
"398",50,1,0,1,0,40,1,"white",0
"399",100,1,1,0,0,72,1,"black",1
"400",0,1,1,0,0,55,1,"black",1
"401",11,0,0,0,1,62,1,"hispanic",0
"402",51,1,0,0,1,27,1,"hispanic",0
"403",70,1,0,0,1,57,1,"hispanic",0
"404",50,1,0,0,1,63,1,"hispanic",0
"405",6,1,0,0,1,26,0,"hispanic",0
"406",0,1,0,0,1,53,1,"hispanic",0
"407",100,1,0,1,0,53,0,"white",0
"408",50,1,1,0,0,43,1,"black",1
"409",50,0,1,0,0,71,1,"black",1
"410",50,0,1,0,0,27,0,"black",0
"411",50,0,1,0,0,30,1,"black",1
"412",40,0,0,1,0,63,0,"white",1
"413",0,1,0,1,0,60,0,"white",1
"414",50,1,0,1,0,59,0,"white",0
"415",91,1,0,1,0,43,0,"white",0
"416",93,0,0,1,0,80,1,"white",1
"417",50,0,0,1,0,53,0,"white",1
"418",50,0,0,1,0,48,1,"white",0
"419",6,0,1,0,0,27,0,"black",1
"420",0,0,1,0,0,34,0,"black",0
"421",0,1,1,0,0,61,1,"black",0
"422",78,0,1,0,0,24,0,"black",1
"423",80,0,1,0,0,30,0,"black",1
"424",50,0,1,0,0,62,1,"black",1
"425",100,0,1,0,0,66,1,"black",1
"426",50,0,0,0,1,54,1,"hispanic",1
"427",50,0,0,0,1,59,0,"hispanic",0
"428",50,0,1,0,0,25,0,"black",1
"429",50,1,1,0,0,62,0,"black",1
"430",12,0,1,0,0,23,1,"black",1
"431",48,0,0,0,1,44,1,"hispanic",0
"432",49,1,0,0,1,56,0,"hispanic",1
"433",65,0,0,0,1,56,1,"hispanic",1
"434",10,0,0,0,1,24,1,"hispanic",1
"435",16,0,0,0,1,35,1,"hispanic",1
"436",50,0,1,0,0,62,0,"black",0
"437",50,0,1,0,0,61,1,"black",1
"438",50,1,0,0,1,55,1,"hispanic",0
"439",0,1,0,1,0,56,1,"white",1
"440",50,1,0,1,0,19,0,"white",0
"441",50,1,0,0,1,47,1,"hispanic",0
"442",27,0,0,0,1,42,0,"hispanic",0
"443",24,0,0,1,0,58,1,"white",0
"444",20,1,0,1,0,65,0,"white",1
"445",50,1,0,0,1,50,1,"hispanic",0
"446",38,0,0,1,0,80,0,"white",1
"447",12,0,0,1,0,69,1,"white",1
"448",54,0,0,1,0,53,1,"white",0
"449",20,0,0,1,0,56,0,"white",1
"450",0,0,0,0,1,30,0,"hispanic",0
"451",100,0,1,0,0,20,0,"black",1
"452",11,0,0,0,1,41,1,"hispanic",0
"453",50,1,0,0,1,52,1,"hispanic",0
"454",12,1,1,0,0,44,1,"black",1
"455",50,0,0,0,1,18,1,"hispanic",0
"456",50,0,0,0,1,46,1,"hispanic",1
"457",100,0,0,0,1,42,1,"hispanic",1
"458",0,1,0,0,1,25,1,"hispanic",0
"459",75,1,0,1,0,49,1,"white",0
"460",40,1,0,0,1,28,0,"hispanic",1
"461",50,1,0,1,0,57,1,"white",0
"462",50,1,0,0,1,53,0,"hispanic",0
"463",25,0,0,0,1,24,0,"hispanic",0
"464",69,1,0,0,1,77,1,"hispanic",0
"465",50,1,0,0,1,73,0,"hispanic",0
"466",50,0,0,1,0,60,1,"white",0
"467",50,0,0,1,0,52,1,"white",0
"468",100,0,0,1,0,61,0,"white",1
"469",50,1,0,0,1,77,0,"hispanic",0
"470",50,1,0,0,1,44,0,"hispanic",0
"471",90,1,0,0,1,22,0,"hispanic",1
"472",100,1,0,0,1,53,1,"hispanic",0
"473",100,1,0,0,1,23,0,"hispanic",0
"474",68,0,1,0,0,59,1,"black",1
"475",25,0,0,0,1,47,0,"hispanic",1
"476",89,1,0,0,1,63,0,"hispanic",0
"477",100,0,0,0,1,52,1,"hispanic",0
"478",100,0,0,1,0,49,0,"white",0
"479",92,0,0,0,1,33,1,"hispanic",0
"480",100,0,0,0,1,33,0,"hispanic",0
"481",50,1,0,0,1,59,0,"hispanic",0
"482",51,1,0,0,1,61,1,"hispanic",0
"483",96,1,0,0,1,75,0,"hispanic",0
"484",50,1,0,0,1,29,1,"hispanic",0
"485",0,1,0,1,0,52,0,"white",1
"486",30,1,0,0,1,52,1,"hispanic",1
"487",64,0,0,0,1,54,1,"hispanic",1
"488",69,0,0,0,1,66,0,"hispanic",1
"489",50,0,1,0,0,42,0,"black",1
"490",50,1,0,0,1,37,0,"hispanic",0
"491",100,1,0,0,1,83,0,"hispanic",0
"492",44,0,0,0,1,30,1,"hispanic",0
"493",50,0,0,0,1,33,1,"hispanic",0
"494",100,0,0,1,0,77,0,"white",0
"495",100,0,0,0,1,66,1,"hispanic",0
"496",50,0,0,1,0,64,0,"white",1
"497",50,0,0,1,0,76,1,"white",1
"498",0,1,0,0,1,55,0,"hispanic",1
"499",13,1,1,0,0,53,1,"black",1
"500",6,0,0,0,1,72,1,"hispanic",1
"501",0,1,0,1,0,49,1,"white",1
"502",0,1,0,1,0,36,1,"white",1
"503",0,1,0,1,0,62,1,"white",1
"504",50,1,0,0,1,52,1,"hispanic",1
"505",0,1,0,0,1,24,1,"hispanic",0
"506",10,1,0,1,0,62,0,"white",1
"507",1,0,0,1,0,41,1,"white",0
"508",50,1,1,0,0,36,1,"black",1
"509",50,1,0,0,1,45,1,"hispanic",0
"510",50,1,0,0,1,46,0,"hispanic",0
"511",50,0,0,0,1,40,1,"hispanic",1
"512",50,0,0,1,0,66,1,"white",0
"513",98,1,1,0,0,40,1,"black",1
"514",64,1,1,0,0,39,0,"black",1
"515",7,1,0,0,1,41,0,"hispanic",0
"516",50,1,0,0,1,55,1,"hispanic",0
"517",52,1,0,1,0,46,1,"white",0
"518",50,0,0,0,1,24,0,"hispanic",0
"519",50,1,0,0,1,19,0,"hispanic",0
"520",50,1,0,0,1,29,0,"hispanic",1
"521",50,1,0,1,0,51,1,"white",0
"522",50,1,1,0,0,55,0,"black",1
"523",40,1,1,0,0,58,1,"black",1
"524",50,0,0,1,0,40,0,"white",0
"525",50,0,0,1,0,34,1,"white",0
"526",0,0,0,0,1,19,1,"hispanic",0
